Feature,Ranking_LR,Selected_LR,Ranking_RF,Selected_RF,Avg_Ranking,Both_Selected,Category
latitude,1,True,1,True,1.0,True,Geographic
abs_latitude,1,True,1,True,1.0,True,Geographic
wind_humidity_interaction,1,True,1,True,1.0,True,Core Weather
pressure_humidity_interaction,1,True,1,True,1.0,True,Core Weather
month,1,True,1,True,1.0,True,Temporal
hour,1,True,1,True,1.0,True,Temporal
uv_index,1,True,1,True,1.0,True,Core Weather
humidity,1,True,1,True,1.0,True,Core Weather
air_quality_Ozone,1,True,1,True,1.0,True,Air Quality
uv_visibility_interaction,1,True,1,True,1.0,True,Core Weather
pressure_in,1,True,1,True,1.0,True,Core Weather
air_quality_Carbon_Monoxide,2,False,1,True,1.5,False,Air Quality
air_quality_composite,3,False,1,True,2.0,False,Air Quality
pressure_mb,1,True,3,False,2.0,False,Core Weather
cloud,1,True,4,False,2.5,False,Core Weather
air_quality_Nitrogen_dioxide,4,False,1,True,2.5,False,Air Quality
wind_direction_sin,5,False,2,False,3.5,False,Core Weather
gust_kph,1,True,6,False,3.5,False,Other
air_quality_Sulphur_dioxide,6,False,1,True,3.5,False,Air Quality
precip_mm,1,True,7,False,4.0,False,Core Weather
air_quality_PM10,7,False,1,True,4.0,False,Air Quality
air_quality_PM2.5,8,False,1,True,4.5,False,Air Quality
visibility_km,1,True,8,False,4.5,False,Core Weather
gust_mph,1,True,9,False,5.0,False,Other
wind_mph,1,True,10,False,5.5,False,Core Weather
longitude,10,False,1,True,5.5,False,Geographic
visibility_miles,1,True,11,False,6.0,False,Core Weather
weather_severity,11,False,1,True,6.0,False,Engineered
moon_illumination,12,False,1,True,6.5,False,Other
wind_kph,1,True,12,False,6.5,False,Core Weather
wind_degree,9,False,5,False,7.0,False,Core Weather
air_quality_us-epa-index,1,True,14,False,7.5,False,Air Quality
wind_direction_cos,14,False,1,True,7.5,False,Core Weather
precip_in,1,True,15,False,8.0,False,Core Weather
air_quality_gb-defra-index,13,False,13,False,13.0,False,Air Quality
